Image type	Feature Class	Feature Name	1: RTSTRUCT: ANON_49_segment_Lt Frontal	1: RTSTRUCT: ANON_49_segment_Left Ventricle	1: RTSTRUCT: ANON_49_segment_Rt Post Parietal	1: RTSTRUCT: ANON_49_segment_Rt Post Parietal 2	1: RTSTRUCT: ANON_49_segment_Lt inf Frontal	1: RTSTRUCT: ANON_49_segment_Lt Hippocampal	1: RTSTRUCT: ANON_49_segment_Rt Sup Cerebellar	1: RTSTRUCT: ANON_49_segment_Lt lat Frontal
log-sigma-5-0-mm-3D	glszm	SmallAreaHighGrayLevelEmphasis	8.275806662579127	4.500110788778309	0.0004	0.0001457154195011338	6.944444444444444e-05	0.05028834626627724	0.00020408163265306123	0.027777777777777776
log-sigma-5-0-mm-3D	glszm	SmallAreaLowGrayLevelEmphasis	0.021300837481844553	0.05566420511461651	0.0004	2.571541950113379e-05	6.944444444444444e-05	0.0006306446326798561	0.00020408163265306123	0.027777777777777776
log-sigma-5-0-mm-3D	glszm	ZoneEntropy	3.0220552088741974	1.4999999999999991	-3.203426503814917e-16	0.9999999999999993	-3.203426503814917e-16	1.9999999999999987	-3.203426503814917e-16	-3.203426503814917e-16
log-sigma-5-0-mm-3D	glszm	ZonePercentage	0.001973684210526316	0.0056179775280898875	0.02	0.006825938566552901	0.008333333333333333	0.002875629043853343	0.014285714285714285	0.16666666666666666
log-sigma-5-0-mm-3D	glszm	ZoneVariance	641684.5555555555	78453.5	0.0	462.25	0.0	253277.6875	0.0	0.0
log-sigma-5-0-mm-3D	gldm	DependenceEntropy	5.787884027332199	4.367563157747242	3.9300445003404993	5.139504826832486	4.207991152163901	4.4281585292244054	3.8847614964173673	0.9182958340544889
log-sigma-5-0-mm-3D	gldm	DependenceNonUniformity	369.5575657894737	45.16011235955056	3.76	16.610921501706486	7.1	140.15744069015096	5.371428571428571	3.3333333333333335
log-sigma-5-0-mm-3D	gldm	DependenceNonUniformityNormalized	0.0607824943732687	0.06342712410049237	0.0752	0.056692564852240564	0.059166666666666666	0.10076020179018762	0.07673469387755102	0.5555555555555556
log-sigma-5-0-mm-3D	gldm	DependenceVariance	24.146827280990305	25.2876530741068	23.8544	29.80421437640508	30.343333333333334	33.248491250883134	23.711020408163265	0.2222222222222222
log-sigma-5-0-mm-3D	gldm	GrayLevelNonUniformity	1774.0157894736842	618.7528089887641	50.0	149.65529010238907	120.0	1076.2120776419843	70.0	6.0
log-sigma-5-0-mm-3D	gldm	GrayLevelVariance	0.8554778393351801	0.06605068804443882	0.0	0.24461554590035994	0.0	0.11783567051410396	0.0	0.0
log-sigma-5-0-mm-3D	gldm	HighGrayLevelEmphasis	8.534210526315789	3.811797752808989	1.0	2.279863481228669	1.0	3.7253774263120056	1.0	1.0
log-sigma-5-0-mm-3D	gldm	LargeDependenceEmphasis	349.7	431.15168539325845	244.08	321.12969283276453	343.6333333333333	466.37311286844	281.54285714285714	32.333333333333336
log-sigma-5-0-mm-3D	gldm	LargeDependenceHighGrayLevelEmphasis	2514.6625	1676.4943820224719	244.08	648.6006825938566	343.6333333333333	1735.9568655643423	281.54285714285714	32.333333333333336
log-sigma-5-0-mm-3D	gldm	LargeDependenceLowGrayLevelEmphasis	92.33775598501461	119.81913233458177	244.08	239.26194539249147	343.6333333333333	149.31825625049925	281.54285714285714	32.333333333333336
